RoundNo,ClientNo,Dataset,Accuracy
12,7,test,60.21840873634945
12,8,test,60.91644204851752
12,9,test,57.49440715883669
12,10,test,63.529411764705884
12,11,test,59.42549371633752
12,12,test,62.46882793017456
12,13,test,58.292682926829265
12,14,test,68.21192052980132
12,15,test,67.7938808373591
12,16,test,78.61111111111111
12,17,test,68.79084967320262
12,18,test,67.71929824561404
12,19,test,84.01084010840108
12,server,train,47.378
12,server,test,47.47
13,0,test,68.46652267818574
13,1,test,75.12437810945273
13,2,test,67.10914454277287
13,3,test,61.49584487534626
13,4,test,59.82905982905983
13,5,test,54.4011544011544
13,6,test,63.83307573415765
13,7,test,62.090483619344774
13,8,test,61.18598382749326
13,9,test,60.62639821029083
13,10,test,64.70588235294117
13,11,test,59.78456014362657
13,12,test,61.97007481296758
13,13,test,61.46341463414634
13,14,test,68.21192052980132
13,15,test,69.72624798711755
13,16,test,78.75
13,17,test,68.95424836601308
13,18,test,66.66666666666667
13,19,test,83.33333333333333
13,server,train,47.02
13,server,test,47.53
14,0,test,68.89848812095032
14,1,test,73.96351575456053
14,2,test,69.1740412979351
14,3,test,61.35734072022161
14,4,test,60.256410256410255
14,5,test,56.132756132756136
14,6,test,63.83307573415765
14,7,test,58.34633385335413
14,8,test,62.264150943396224
14,9,test,55.257270693512304
14,10,test,69.01960784313725
14,11,test,59.06642728904848
14,12,test,63.21695760598504
14,13,test,59.75609756097561
14,14,test,70.72847682119205
14,15,test,70.37037037037037
14,16,test,79.16666666666667
14,17,test,70.26143790849673
14,18,test,68.94736842105263
14,19,test,84.28184281842819
14,server,train,47.22
14,server,test,47.56
15,0,test,69.54643628509719
15,1,test,74.12935323383084
15,2,test,70.50147492625369
15,3,test,60.38781163434903
15,4,test,58.40455840455841
15,5,test,58.297258297258296
15,6,test,65.84234930448223
15,7,test,62.090483619344774
15,8,test,60.64690026954178
15,9,test,56.59955257270693
15,10,test,65.49019607843137
15,11,test,59.964093357271096
15,12,test,62.593516209476306
15,13,test,57.80487804878049
15,14,test,69.5364238410596
15,15,test,68.59903381642512
15,16,test,79.86111111111111
15,17,test,69.6078431372549
15,18,test,66.66666666666667
15,19,test,84.55284552845528
15,server,train,47.286
15,server,test,47.18
16,0,test,69.54643628509719
16,1,test,75.29021558872306
16,2,test,69.76401179941003
16,3,test,62.32686980609418
16,4,test,61.396011396011396
16,5,test,56.132756132756136
16,6,test,62.75115919629057
16,7,test,60.06240249609984
16,8,test,62.80323450134771
16,9,test,56.375838926174495
16,10,test,69.80392156862744
16,11,test,61.57989228007181
16,12,test,61.84538653366584
16,13,test,58.78048780487805
16,14,test,69.00662251655629
16,15,test,69.72624798711755
16,16,test,78.88888888888889
16,17,test,70.58823529411765
16,18,test,67.54385964912281
16,19,test,84.01084010840108
16,server,train,47.212
16,server,test,47.29
17,0,test,71.92224622030237
17,1,test,75.787728026534
17,2,test,70.50147492625369
17,3,test,62.46537396121884
17,4,test,63.675213675213676
17,5,test,56.70995670995671
17,6,test,65.06955177743431
17,7,test,60.53042121684867
17,8,test,60.91644204851752
17,9,test,59.955257270693515
17,10,test,64.31372549019608
17,11,test,61.759425493716336
17,12,test,62.46882793017456
17,13,test,60.0
17,14,test,70.06622516556291
17,15,test,68.27697262479872
17,16,test,79.58333333333333
17,17,test,70.7516339869281
17,18,test,67.54385964912281
17,19,test,85.09485094850949
17,server,train,47.736
17,server,test,48.11
18,0,test,70.41036717062634
18,1,test,75.12437810945273
18,2,test,70.94395280235989
18,3,test,63.29639889196676
18,4,test,62.10826210826211
18,5,test,54.83405483405483
18,6,test,64.14219474497682
18,7,test,60.9984399375975
18,8,test,62.53369272237197
18,9,test,59.955257270693515
18,10,test,67.05882352941177
18,11,test,61.22082585278277
18,12,test,62.094763092269325
18,13,test,59.75609756097561
18,14,test,70.4635761589404
18,15,test,69.88727858293076
18,16,test,78.47222222222223
18,17,test,69.77124183006536
18,18,test,66.3157894736842
18,19,test,85.36585365853658
18,server,train,47.726
18,server,test,48.24
19,0,test,70.41036717062634
19,1,test,76.78275290215589
19,2,test,69.76401179941003
19,3,test,61.91135734072022
19,4,test,63.24786324786325
19,5,test,57.43145743145743
19,6,test,62.90571870170015
19,7,test,60.9984399375975
19,8,test,61.99460916442049
19,9,test,60.40268456375839
19,10,test,65.49019607843137
19,11,test,60.68222621184919
19,12,test,63.092269326683294
19,13,test,59.26829268292683
19,14,test,69.5364238410596
19,15,test,70.04830917874396
19,16,test,79.16666666666667
19,17,test,68.4640522875817
19,18,test,67.36842105263158
19,19,test,84.55284552845528
19,server,train,47.758
19,server,test,48.27
