2023-12-28 22:20:21,599 INFO    StreamThr :33035 [internal.py:wandb_internal():86] W&B internal server running at pid: 33035, started at: 2023-12-28 22:20:21.599072
2023-12-28 22:20:21,600 DEBUG   HandlerThread:33035 [handler.py:handle_request():146] handle_request: status
2023-12-28 22:20:21,601 INFO    WriterThread:33035 [datastore.py:open_for_write():85] open: /home/goktug/Desktop/thesis/netadapt-x-flower/wandb/run-20231228_222021-3afkw140/run-3afkw140.wandb
2023-12-28 22:20:21,602 DEBUG   SenderThread:33035 [sender.py:send():382] send: header
2023-12-28 22:20:21,604 DEBUG   SenderThread:33035 [sender.py:send():382] send: run
2023-12-28 22:20:22,502 INFO    SenderThread:33035 [dir_watcher.py:__init__():211] watching files in: /home/goktug/Desktop/thesis/netadapt-x-flower/wandb/run-20231228_222021-3afkw140/files
2023-12-28 22:20:22,502 INFO    SenderThread:33035 [sender.py:_start_run_threads():1136] run started: 3afkw140 with start time 1703791221.598659
2023-12-28 22:20:22,512 DEBUG   HandlerThread:33035 [handler.py:handle_request():146] handle_request: check_version
2023-12-28 22:20:22,512 DEBUG   SenderThread:33035 [sender.py:send_request():409] send_request: check_version
2023-12-28 22:20:22,952 DEBUG   HandlerThread:33035 [handler.py:handle_request():146] handle_request: run_start
2023-12-28 22:20:22,958 DEBUG   HandlerThread:33035 [system_info.py:__init__():32] System info init
2023-12-28 22:20:22,958 DEBUG   HandlerThread:33035 [system_info.py:__init__():47] System info init done
2023-12-28 22:20:22,958 INFO    HandlerThread:33035 [system_monitor.py:start():194] Starting system monitor
2023-12-28 22:20:22,958 INFO    SystemMonitor:33035 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-28 22:20:22,959 INFO    HandlerThread:33035 [system_monitor.py:probe():214] Collecting system info
2023-12-28 22:20:22,959 INFO    SystemMonitor:33035 [interfaces.py:start():190] Started cpu monitoring
2023-12-28 22:20:22,959 INFO    SystemMonitor:33035 [interfaces.py:start():190] Started disk monitoring
2023-12-28 22:20:22,960 INFO    SystemMonitor:33035 [interfaces.py:start():190] Started gpu monitoring
2023-12-28 22:20:22,960 INFO    SystemMonitor:33035 [interfaces.py:start():190] Started memory monitoring
2023-12-28 22:20:22,960 INFO    SystemMonitor:33035 [interfaces.py:start():190] Started network monitoring
2023-12-28 22:20:22,993 DEBUG   HandlerThread:33035 [system_info.py:probe():196] Probing system
2023-12-28 22:20:22,995 DEBUG   HandlerThread:33035 [system_info.py:_probe_git():181] Probing git
2023-12-28 22:20:23,001 DEBUG   HandlerThread:33035 [system_info.py:_probe_git():189] Probing git done
2023-12-28 22:20:23,001 DEBUG   HandlerThread:33035 [system_info.py:probe():244] Probing system done
